#,单词,音标,解释,笔记
0,"Capital","英:/'kæpɪt(ə)l/ 美:/'kæpɪtl/","- n. 首都，省会；大写字母；资金；资本家
- adj. 重要的；大写的；首都的",
1,"industry","英:/'ɪndəstrɪ/ 美:/'ɪndəstri/","n. 工业；产业；勤勉",
2,"military","英:/'mɪlɪt(ə)rɪ/ 美:/'mɪlətɛri/","- adj. 军事的；军人的；适于战争的
- n. 军队；军人


副 词:  
militarily",
3,"refoot","","vt. 换底脚,换底",
4,"stage","英:/steɪdʒ/ 美:/stedʒ/","- n. 舞台；戏剧；驿站；阶段
- vt. 上演；举行；筹划
- vi. 适于上演；举行；乘驿车旅行


时 态:  
staged, staging, stages",
5,"accuse","英:/ə'kjuːz/ 美:/ə'kjuz/","vt. 指责，谴责；控告

时 态:  
accused，accusing，accuses 

名 词:  
accuser

副 词:  
accusingly",
6,"article","英:/'ɑːtɪk(ə)l/ 美:/ˈɑːrt̬ɪkəl/","- n. 物品, 物件
- 文章
- 条款
- 冠词

时 态:  
articled, articling, articles",
7,"aspect","英:/'æspekt/ 美:/'æspɛkt/","- n. 方面
- 方位, 朝向
- 面貌, 模样, 神态",
8,"ceramic","英:/sɪ'ræmɪk/ 美:/sə'ræmɪk/","- adj. 陶器的；陶瓷的；制陶艺术的
- n. 陶瓷制品；陶瓷


形容词:  
ceramic",
9,"Christian","英:/ˈkrɪstʃən/ 美:/'krɪstʃən/","- n. 基督教徒
- adj. 信基督教的; 基督教的; 基督教徒的

形容词:  
Christianly",
10,"commercial","英:/kə'mɜːʃ(ə)l/ 美:/kə'mɝʃəl/","- adj. 商业的，商务的
- n. 商业广告

副 词:  
commercially",
11,"cousin","英:/ˈkʌzən/ 美:/ˈkʌzən/","- n. 堂[表]兄弟[姊妹]
- 远亲, 同辈, 同胞
Cousin库辛（Victor， 1792-1867， 法国哲学家、教育改革家； 折衷主义的创始人）

形容词:  
cousinly",
12,"curriculum","英:/kʌ'rɪkjʊləm/ 美:/kə'rɪkjələm/","n. 总课程

形容词:  
curricular

复 数: 
curricula",
13,"despite","英:/dɪ'spaɪt/ 美:/dɪ'spaɪt/","prep. 不管, 尽管",
14,"determine","英:/dɪ'tɜːmɪn/ 美:/dɪ'tɝmɪn/","- vt. & vi. (使)下决心，(使)做出决定
- vt. 确定，测定
- 限定；制定；支配

时 态:  
determined，determining，determines",
15,"district","英:/'dɪstrɪkt/ 美:/'dɪstrɪkt/","n. 区域；行政区；地方


时 态:  
districted, districting, districts",
16,"dramatic","英:/drə'mætɪk/ 美:/drə'mætɪk/","- adj. 戏剧的, 剧本的
- 戏剧性的, 激动人心的
- 引人注目的, 给人深刻印象的

副 词:  
dramatically",
17,"essential","英:/ɪ'senʃ(ə)l/ 美:/ɪ'sɛnʃl/","adj. 基本的；必要的；本质的；精华的
n. 本质；要素；要点；必需品


名 词:  
essentiality

副 词:  
essentially",
18,"evidence","英:/'evɪd(ə)ns/ 美:/'ɛvɪdəns/","- n. 证据，证明；迹象；明显
- vt. 证明


时 态:  
evidenced, evidencing, evidences",
19,"extra","英:/'ekstrə/ 美:/'ɛkstrə/","- adv. 特别地，非常；另外
- n. 额外的事物；临时演员；号外；上等产品
- adj. 额外的，另外收费的；特大的",
20,"factory","英:/ˈfæktri; ˈfæktəri 美:/ˈfæktri,ˈfæktəri/","n. 工厂；制造厂；代理店",
21,"finance","英:/faɪ'næns/ 美:/'faɪnæns/","- n. 财政，财政学；金融
- vt. 负担经费，供给…经费
- vi. 筹措资金


时 态:  
financed, financing, finances",
22,"gain","英:/geɪn/ 美:/ɡen/","- n. 收获；增加；利润
- vt. 获得；增加；赚到
- vi. 获利；增加


时 态:  
gained, gaining, gains",
23,"influence","英:/'ɪnflʊəns/ 美:/'ɪnfluəns/","- n. 影响；感化力
- 势力，权势
- 产生影响的人[事物]
- vt. 影响，感化

时 态:  
influenced，influencing，influences",
24,"launch","英:/lɔːn(t)ʃ/ 美:/lɔntʃ/","- vt. 发射（导弹、火箭等）；发起，发动；使…下水
- vi. 下水；开始；起飞
- n. 发射；下水；汽艇；发行，投放市场


时 态:  
launched, launching, launches",
