#,单词,音标,解释,笔记
0,"Capital","英:/'kæpɪt(ə)l/ 美:/'kæpɪtl/","▪ I. capital 1 UK  [ˈkæpɪt(ə)l] US  noun [singular capital plural capitals] ★★★
    1. capital variant capital city variant [countable] the city where a country or region has its government
        Madrid is the capital of Spain.
        state/regional/provincial/capital: Tallahassee is the state capital of Florida.
        Thesaurus: towns, cities and villageshyponym 
      1a. the most important place for an activity or industry
        Milan, Italy’s fashion capital
        capital of: Officials will fly to Houston, capital of the American oil industry.
        Thesaurus: general words for location and placesynonym places of a particular typehyponym 
    2. capital variant capital letter variant [countable] the large form of a letter, for example ‘A’ or ‘B’, that you use at the beginning of a sentence or name
        in capitals: He wrote the title in capitals.
        Thesaurus: general writing systemshyponym 
    3. [uncountable] business money or property that you use to start a business or invest to earn more money
        Thesaurus: investing and investmentshyponym to invest moneysynonym 
    4. [countable] in architecture, the decorated top part of a column (=tall stone post that supports a building)
        Thesaurus: frames and supports for structuressynonym doors and windowshyponym 
        Phrase: make capital out of something
▪ II. capital 2 UK  [ˈkæpɪt(ə)l] US  adjective ★★
    1. only before noun a capital letter is the large form of a letter, for example ‘A’ or ‘B’, that you use at the beginning of a sentence or name
        Thesaurus: general writing systemshyponym 
    2. British informal old-fashioned excellent
        Thesaurus: extremely good or of a high qualitysynonym 
        Phrases: with a capital A ▪ with a capital B ▪ with a capital C",
1,"industry","英:/'ɪndəstrɪ/ 美:/'ɪndəstri/","industry UK  [ˈɪndəstri] US  noun [singular industry plural industries] ★★★
  1. [uncountable] the production of goods, especially those made in factories The part of industry that involves the production of steel, coal, or large goods such as aircraft is called heavy industry . The part of industry that involves the production of small goods, for example electronic equipment, is called light industry
      The town was severely hit by the decline in industry.
      Thesaurus: process or business of making goodssynonym areas and objects found in a factoryhyponym 
    1a. [uncountable] the people and organizations involved in producing goods
      action by the government to ease industry’s fears
      Thesaurus: producers and product names and standardshyponym 
    1b. only before noun belonging to or connected with industry
      industry experts/​leaders/​officials
      Thesaurus: describing or relating to factories and producing goodshyponym 
    1c. [countable] a particular industry, trade, or service and the people who work in it
      the nuclear/​chemical/​pharmaceutical industry
      Thesaurus: economy and economicshyponym 
  2. [countable] usually singular an activity or business that has become very successful, especially one that you think makes an unfair profit or is not necessary
      another keep-fit video from the burgeoning fitness industry
      Thesaurus: general types of business or companyhypernym general words for business people and managershyponym 
  3. [uncountable] formal hard work and effort
      He still believed that honesty and industry would lead to success.
      Thesaurus: hard work and effortsynonym 
      See also: cottage industry ▪ growth industry ▪ service industry",
2,"military","英:/'mɪlɪt(ə)rɪ/ 美:/'mɪlətɛri/","▪ I. military UK  [ˈmɪlɪt(ə)ri] US  [ˈmɪlɪˌteri] adjective ★★
    relating to armies or armed forces and the way in which they are organized
        The huge influx of military and civilian personnel created a problem.
        Thesaurus: fighting in a war and relating to fighting in a warhyponym 
      a. using armed forces to achieve something
        The government is prepared to take military action.
        a huge military operation
        Thesaurus: involved in fighting in a war and relating to warsynonym fighting in a war and relating to fighting in a warhyponym 
        Derived Word: militarily
▪ II. the military UK  [ˈmɪlɪt(ə)ri] US  [ˈmɪlɪˌteri] noun
    a country’s armed forces, or the people who are in charge of them
        He denied that the military was supporting paramilitary groups.
        Thesaurus: armed forces and armieshyponym",
3,"refoot","","",
4,"stage","英:/steɪdʒ/ 美:/stedʒ/","▪ I. stage 1 UK  [steɪdʒ] US  noun [singular stage plural stages] ★★★
    1. [countable] a particular point in time during a process or set of events
        The negotiations had reached a delicate stage.
        at this stage: There’s no point arguing about it at this stage.
        an early/​initial stage: They had the ball more often in the early stages of the game.
        a final/​closing stage: The issue was only raised in the closing stage of the election campaign.
        Thesaurus: individual stages of events and processeshyponym beginnings, starts and early stagessynonym 
      1a. a particular part of a process that has several different parts
        She likes to involve herself in every stage of the film-making process.
        The project is still at a planning stage.
        Atkins outlined a three-stage programme for resolving the crisis.
        Thesaurus: individual stages of events and processeshyponym beginnings, starts and early stagessynonym 
      1b. a part of a journey that has several different parts
        The last stage of the journey was the train north.
        Thesaurus: parts of a journeymeronym journeyshyponym 
        
        Collocations         
        Adjectives frequently used with stage  1 
        ▪   advanced, closing, early, final, formative, halfway, initial, late, preliminary
    2. [countable] theatre the part of a theatre where the actors or musicians perform
        take/​leave the stage (=come onto/​go off the stage): The musicians didn’t take the stage until after ten o’clock.
        on stage: They had now been on stage for over four hours.
        Thesaurus: structures for speeches and performancessynonym areas and structures in a theatre or cinemahyponym 
      2a. [singular] the theatre, rather than films, books, or other forms of art
        She’s written a number of things for the stage.
        Thesaurus: film-making and theatre productionhyponym areas and structures in a theatre or cinemahyponym 
      2b. the stage variant life as a performer, especially the profession of acting
        go on the stage (=become a professional performer): Do you think your children will go on the stage?
        Thesaurus: relating to theatre and actinghyponym 
    3. [singular] the place or situation in which something happens, especially in politics
        the world/​political/​international stage: He is a skilled performer on the political stage.
        She’s not yet a politician of significance on the world stage.
        Thesaurus: general words for situations and circumstancessynonym difficult situations and experiencessynonym 
    4. [countable] informal a stagecoach
        Thesaurus: road vehicles pulled by horseshyponym 
▪ II. stage 2 UK  [steɪdʒ] US  verb [transitive] [present tense I/you/we/they stage he/she/it stages present participle staging past tense staged past participle staged]
    1. to organize an event
        You cannot stage a Verdi opera without a chorus.
        The protest was a well-planned and carefully staged affair.
        Thesaurus: to organize an eventsynonym 
    2. to be the place where an event happens
        the city that so successfully staged the 2000 Olympics
        Thesaurus: to organize an eventsynonym",
5,"accuse","英:/ə'kjuːz/ 美:/ə'kjuz/","accuse UK  [əˈkjuːz] US  [əˈkjuz] verb [transitive] [present tense I/you/we/they accuse he/she/it accuses present participle accusing past tense accused past participle accused] ★★★
  to say that someone has done something wrong or committed a crime
      accuse someone of something: Her employers accused her of theft.
      accuse someone of doing something: Are you accusing me of lying?
      Thesaurus: to accuse someone of a crimesynonym police officershyponym 
      Derived Word: accuser",
6,"article","英:/'ɑːtɪk(ə)l/ 美:/ˈɑːrt̬ɪkəl/","article UK  [ˈɑː(r)tɪk(ə)l] US  [ˈɑrtɪk(ə)l] noun [singular article plural articles] ★★★
  1. [countable] a piece of writing about a particular subject that is published in a newspaper or magazine
      He has written several articles for
      The Times .
      article on/​about: We ran an article about her in our magazine.
      Thesaurus: parts of newspapers and magazinesmeronym types of newspaper or magazinehyponym 
  2. [countable] an object, usually one of a group of similar objects
      The shop sells small household articles.
      article of clothing: She left articles of clothing all around the living room.
      Thesaurus: general words for objectssynonym central parts of objects or spacessynonym 
  3. [countable] part of a legal document or agreement that deals with a particular point
      Article 180 states that one third of the members must be women.
      Thesaurus: legal documents and parts of legal documentshyponym general words for crimessynonym 
  4. [countable] linguistics a type of determiner (=word used before a noun) that shows whether you are referring to a particular thing or to a general example of something. The indefinite article is ‘a’ or ‘an’ and the definite article is ‘the’.
      Thesaurus: types and forms of word, clause or sentencehyponym 
  5. articles variant [plural] British the final part of the education of a professional person, for example a lawyer, during which they work for a company
      do your articles: She is doing her articles with a firm of architects in Guildford.
      Thesaurus: courses of studyhyponym 
      See also: genuine",
7,"aspect","英:/'æspekt/ 美:/'æspɛkt/","aspect UK  [ˈæspekt] US  noun [singular aspect plural aspects] ★★★
  1. [countable] a particular part, feature, or quality of something
      aspect of: a system of rules that covers almost every aspect of their lives
      consider/​discuss/​deal with/​focus on an aspect: This chapter will consider several important aspects of the teaching process.
      the safety/​security/​health etc aspect: The car has to look good, but without forgetting the safety aspect.
      Thesaurus: features and qualitiessynonym 
  2. [countable] usually singular formal the direction in which a building or window faces
      Thesaurus: position of an object or the direction in which it is pointingsynonym 
  3. [singular] formal the appearance of someone or something
      Thesaurus: general words for appearancessynonym 
  4. [countable/uncountable] linguistics the form of a verb that shows whether an action is continuing, is repeated, or happens only once
      the progressive aspect
      Thesaurus: verb forms and tenseshyponym",
8,"ceramic","英:/sɪ'ræmɪk/ 美:/sə'ræmɪk/","ceramic UK  [səˈræmɪk] US  adjective art
  made from clay baked at a very high temperature so that it has become hard
      ceramic tiles
      Thesaurus: china, clay and ceramicshyponym",
9,"Christian","英:/ˈkrɪstʃən/ 美:/'krɪstʃən/","▪ I. Christian 1 UK  [ˈkrɪstʃən] US  [ˈkrɪstʃ(ə)n] adjective ★★★
    1. relating to Christianity
        Christian beliefs
        a Christian minister 
        Thesaurus: relating to christian churches and groups and their membershyponym 
    2. Christian variant christian variant behaving in a kind way
        Leaving them like that wasn’t very christian of him, was it?
        Thesaurus: kind and gentle and sensitivesynonym 
▪ II. Christian 2 UK  [ˈkrɪstʃən] US  [ˈkrɪstʃ(ə)n] noun [countable] [singular Christian plural Christians] ★
    someone whose religion is Christianity
        Thesaurus: christian churches and religious groups and their membershyponym",
